CODIGO,STOCK
EMA9524360,0
EMA9539000,0
EMA9539350,0
EMA9556000,0
EMA9556350,0
EMA9557000,0
EMA9558000,0
EMA9572000,0
EMA9572350,0
NHB0078000,2
NHB0078350,0
NHB0078440,0
NHB0444000,2
NHC0078000,2
NHC0078350,3
NHC0078440,11
NHC0407000,0
NHC0444000,9
NHC0445000,0
NHI0057000,1
NHI0057120,2
NHI0057130,11
NHI0057140,10
NHI0057160,1
NHI0090000,14
NHI0090130,6
NHI0090140,1
NHI0090D 20,7
NHI0090D 60,0
NHI0098000,0
NHI0098350,5
NHI0098440,8
NHI0099000,22
NHI0099350,1
NHI0099440,10
NHI1261000,0
NHK0069000,1
NHK0069340,0
NHK0069360,1
NHK0069380,1
NHK0069440,2
NHK0069450,2
NHK0086000,2
NHK0086340D,1
NHK0086360,5
NHK0086380D,1
NHK0086440,4
NHK0088000,1
NHK0088340D,2
NHK0088360,2
NHK0088380,5
NHK0088440,1
NHK0096000,3
NHK0096340,6
NHK0096360,6
NHK0096380,1
NHK0096440,4
NHK0139000,1
NHK0139350,1
NHK0139440,1
NHK0449000,2
NHK0450000,1
NHK0460000,1
NHK0914000,2
NHK0921000,1
NHK0927000,4
NHK0938000,1
NHK0938120,0
NHK0938130,3
NHK0938140,2
NHK0938160,1
NHK0950000,2
NHK0950350,6
NHK0953000,3
NHK0959000,7
NHK0959340,1
NHK0959360,5
NHK0959380,7
NHK0959440,2
NHK0960000,1
NHK0961000,11
NHK0967000,2
NHK0971000,3
NHK0971360,3
NHK0971380,1
NHK0971440,3
NHK0973000,1
NHK0973120D,6
NHK0973130,2
NHK0973140,3
NHK0973160,1
NHK0974000,2
NHK0974130,0
NHK0974140,3
NHK0974160,2
NHK0974D120,1
NHK1047000,7
NHK1047350,10
NHK1089000,4
NHK1198000,6
NHK1198360,2
NHK1199000,3
NHK1199340,4
NHK1199360,2
NHK1199380,4
NHK1199440,3
NHK1204000,30
NHK1204350,24
NHK1205000,1
NHK1261000,4
NHK1323000,3
NHK1406000,5
NHK1407000,9
NHK1575000,15
NHK1575340,5
NHK1575360,7
NHK1575380,4
NHK1575440,2
NHK1602000,8
NHK1642000,2
NHK1642340,1
NHK1736000,6
NHK1736350,4
NHK1736440,3
NHK1776000,5
NHK1776350,11
NHK1781000,1
NHK1781340,6
NHK1781360,8
NHK1781380D,0
NHK1781440,1
NHK1786000,8
NHK1786350,4
NHK1786440,5
NHK1787000,2
NHK1787340,2
NHK1787360,2
NHK1787380,9
NHK1787440,6
NHK1874000,1
NHK1874350,8
NHK1875000,5
NHK1875350,9
NHK1946000,11
NHK1946350,4
NHK1946440,10
NHK1948000,12
NHK1948350,4
NHK1950000,22
NHK1950350,3
NHK1950440,5
NHK1953000,3
NHL0055000,3
NHL0055120,1
NHL0055130,2
NHL0055140,2
NHL0055160,2
NHL0094000,2
NHL0094120,13
NHL0094130,1
NHL0094140,1
NHL0095000,2
NHL0095120D,4
NHL0095130,3
NHL0095140,2
NHL0095160,0
NHL0097000,4
NHL0097120,10
NHL0097130,5
NHL0097140,1
NHL0097160,2
NHL0100000,1
NHL0672000,1
NHL0672120,2
NHL0672130,0
NHL0672140,0
NHL0844000,1
NHP0206000,4
NHP0206130,1
NHP0206140,2
NHP0206160,3
NHR0097000,2
NHR0097120,0
NHR0097130,0
NHR0097140,10
NHR1199000,6
NHR1199340,4
NHR1199360,3
NHR1204000,3
NHR1204350,9
NHR1204440D,3
NHR1406000,6
NHR1407000,5
NHR1407350,18
NHR1642000,6
NHR1776000,1
NHR1776350,4
NHR1782000,8
NHR1782350,10
NHR1787000,4
NHR1787340,8
NHR1787360,0
NHR1875000,4
NHR1875350,9
NHS1199000,8
NHS1199340,5
NHS1199360,13
NHS1406000,6
NHS1950000,3
NHS1950350,3
NMH1158000,0
NNH0034000,0
NNH0619000,0
NNH0620000,0
NNH0621000,0
NNH1158000,0
NNH1708000,0
NNH1708350,0
NNH1708420,0
NNH1708430,0
NNH1708440,0
NNH1738000,0
NNH1738350,0
NNH1738440,0
NNH1770000,0
NNH1770350,0
NNH1770420,0
NNH2097000,0
NNH2104000,0
NNH2123000,0
NNH2123110,0
NNI1945000,0
NNR1708000,1
NTH1295000,0
NTH1295350,0
NTH1295420,0
NTH1322000,0
NTH1322350,0
NTH1322420,0
NTH1681000,0
NTH1681110,0
NTH1681120,0
NTH2117000,0
NTH2125000,0
NTH2125110,0
NTH2125120,0
NTH2125130,0
NTI0099000,0
NTI0099350,0
NYI0034000,10
NYI0034110,0
NYI0034120,17
NYI0034130,0
NYI0034140,17
PHA7803000,0
PHA7803350,0
PMA1874000,4
PMA2413 0.6,1
PMA2413 STD,2
PMA2515 0.5,0
PMA3102 0.5,4
PMA3102 STD,6
PMA3108 0.5,0
PMA3108 STD,5
PMA7440000,2
PMA7506440,4
PMA7508000,2
PMA7510000,6
PMA7510350,5
PMA7518000,6
PMA7518350,12
PMA7519000,20
PMA7519350,15
PMA7520000,5
PMA7520350,11
PMA7521000,6
PMA7521350,11
PMA752144D,6
PMA7528000,4
PMA7528350,13
PMA7530000,3
PMA7601000,3
PMA7601320,0
PMA7601360,5
PMA7603000,3
PMA7603360,2
PMA7604000,3
PMA7606000,3
PMA7607000,6
PMA7607440,5
PMA7608000,13
PMA7608360,16
PMA7608440,7
PMA7609000,3
PMA7609360,0
PMA7612000,18
PMA7612340,5
PMA7612360,5
PMA7613000,13
PMA7613350,11
PMA7615000,12
PMA7615340,7
PMA7615360,8
PMA7702000,2
PMA7707000,3
PMA7708000,1
PMA7709000,4
PMA7711000,1
PMA7711350,1
PMA7713000,0
PMA7716000,13
PMA7716350,10
PMA7717000,10
PMA7720000,6
PMA7720350P,7
PMA7722000,3
PMA7722350,5
PMA7723000,8
PMA7723350,26
PMA7724000,15
PMA7724350,12
